oftic,TICKER,MEASURE,FISCALP,PYEAR,PMON,anndats,suescore
COF,COF,EPS,QTR,2022,6,2022-07-21,-0.48765
COF,COF,EPS,QTR,2022,9,2022-10-27,-3.06521
COF,COF,EPS,QTR,2022,12,2023-01-24,-2.50751
COF,COF,EPS,QTR,2023,3,2023-04-27,-5.22584
COF,COF,EPS,QTR,2023,6,2023-07-20,1.05417
COF,COF,EPS,QTR,2023,9,2023-10-26,5.49824
COF,COF,EPS,QTR,2023,12,2024-01-25,-1.39628
COF,COF,EPS,QTR,2024,3,2024-04-25,-0.27917
COF,COF,EPS,QTR,2024,6,2024-07-23,-0.42445
COF,COF,EPS,QTR,2024,9,2024-10-24,3.42821
COF,COF,EPS,QTR,2024,12,2025-01-21,0.81701
COF,COF,EPS,QTR,2025,3,2025-04-22,1.52685
COF,COF,EPS,QTR,2025,6,2025-07-22,3.0217
COF,COF,EPS,QTR,2025,9,2025-10-21,3.73206
COP,P,EPS,QTR,2021,12,2022-02-03,0.77516
COP,P,EPS,QTR,2022,3,2022-05-05,0.48737
COP,P,EPS,QTR,2022,6,2022-08-04,0.42528
COP,P,EPS,QTR,2022,9,2022-11-03,0.67296
COP,P,EPS,QTR,2022,12,2023-02-02,-0.404
COP,P,EPS,QTR,2023,3,2023-05-04,2.72334
COP,P,EPS,QTR,2023,6,2023-08-03,-0.83052
COP,P,EPS,QTR,2023,9,2023-11-02,0.65825
COP,P,EPS,QTR,2023,12,2024-02-08,2.06729
COP,P,EPS,QTR,2024,3,2024-05-02,-0.25142
COP,P,EPS,QTR,2024,6,2024-08-01,0.22348
COP,P,EPS,QTR,2024,9,2024-10-31,2.49807
COP,P,EPS,QTR,2024,12,2025-02-06,2.18788
COP,P,EPS,QTR,2025,3,2025-05-08,0.40505
COP,P,EPS,QTR,2025,6,2025-08-07,0.32144
COP,P,EPS,QTR,2025,9,2025-11-06,1.3673
COST,CCS1,EPS,QTR,2022,2,2022-03-03,1.10617
COST,CCS1,EPS,QTR,2022,5,2022-05-26,1.05063
COST,CCS1,EPS,QTR,2022,8,2022-09-22,0.21277
COST,CCS1,EPS,QTR,2022,11,2022-12-08,-0.06659
COST,CCS1,EPS,QTR,2023,2,2023-03-02,0.88969
COST,CCS1,EPS,QTR,2023,5,2023-05-25,-3.28274
COST,CCS1,EPS,QTR,2023,8,2023-09-26,0.395
COST,CCS1,EPS,QTR,2023,11,2023-12-14,1.32965
COST,CCS1,EPS,QTR,2024,2,2024-03-07,2.87485
COST,CCS1,EPS,QTR,2024,5,2024-05-30,0.62069
COST,CCS1,EPS,QTR,2024,8,2024-09-26,1.38517
COST,CCS1,EPS,QTR,2024,11,2024-12-12,2.00748
COST,CCS1,EPS,QTR,2025,2,2025-03-06,-0.54101
COST,CCS1,EPS,QTR,2025,5,2025-05-29,0.34777
COST,CCS1,EPS,QTR,2025,8,2025-09-25,0.53616
COST,CCS1,EPS,QTR,2025,11,2025-12-11,3.21045
CRM,CRMN,EPS,QTR,2022,1,2022-03-01,3.10692
CRM,CRMN,EPS,QTR,2022,4,2022-05-31,3.00039
CRM,CRMN,EPS,QTR,2022,7,2022-08-24,7.99287
CRM,CRMN,EPS,QTR,2022,10,2022-11-30,9.40957
CRM,CRMN,EPS,QTR,2023,1,2023-03-01,11.29171
CRM,CRMN,EPS,QTR,2023,4,2023-05-31,3.64811
CRM,CRMN,EPS,QTR,2023,7,2023-08-30,19.79498
CRM,CRMN,EPS,QTR,2023,10,2023-11-29,2.56851
CRM,CRMN,EPS,QTR,2024,1,2024-02-28,1.54826
CRM,CRMN,EPS,QTR,2024,4,2024-05-29,3.10852
CRM,CRMN,EPS,QTR,2024,7,2024-08-28,13.79802
CRM,CRMN,EPS,QTR,2024,10,2024-12-03,-1.04592
CRM,CRMN,EPS,QTR,2025,1,2025-02-26,6.16157
CRM,CRMN,EPS,QTR,2025,4,2025-05-28,1.76639
